timestamp,pMMG,angle_interp
-31.543,108.914,173.4857008
-31.542,108.914,173.4857411
-31.541,108.914,173.4857815
-31.54,108.914,173.4858218
-31.539,108.914,173.4858622
-31.538,108.914,173.4859025
-31.537,108.933,173.4859429
-31.536,108.933,173.4859832
-31.535,108.933,173.4860236
-31.534,108.933,173.4860639
-31.533,108.933,173.4861043
-31.532,108.933,173.4894033
-31.531,108.933,173.4927023
-31.53,108.933,173.4960013
-31.529,108.933,173.4993003
-31.528,108.933,173.5025993
-31.527,108.933,173.5058983
-31.526,108.933,173.5091974
-31.525,108.933,173.5124964
-31.524,108.953,173.5157954
-31.523,108.953,173.5190944
-31.522,108.953,173.5223934
-31.521,108.953,173.5256924
-31.52,108.953,173.5289914
-31.519,108.953,173.5322904
-31.518,108.953,173.5355894
-31.517,108.953,173.5388885
-31.516,108.953,173.5421875
-31.515,108.953,173.5454865
-31.514,108.953,173.5487855
-31.513,108.953,173.5520845
-31.512,108.933,173.5553835
-31.511,108.933,173.5586825
-31.51,108.933,173.5619815
-31.509,108.933,173.5652805
-31.508,108.933,173.5685796
-31.507,108.933,173.5718786
-31.506,108.933,173.5751776
-31.505,108.933,173.5784766
-31.504,108.933,173.5817756
-31.503,108.933,173.5850746
-31.502,108.933,173.5883736
-31.501,108.933,173.5916726
-31.5,108.933,173.5949716
-31.499,108.933,173.5942175
-31.498,108.933,173.5934633
-31.497,108.933,173.5927091
-31.496,108.933,173.5919549
-31.495,108.933,173.5912007
-31.494,108.953,173.5904465
-31.493,108.972,173.5896923
-31.492,108.972,173.5889381
-31.491,108.972,173.5881839
-31.49,108.972,173.5874297
-31.489,108.972,173.5866755
-31.488,108.972,173.5859213
-31.487,108.972,173.5851671
-31.486,108.972,173.5844129
-31.485,108.972,173.5836587
-31.484,108.953,173.5829045
-31.483,108.953,173.5821503
-31.482,108.953,173.5813961
-31.481,108.953,173.5806419
-31.48,108.953,173.5798877
-31.479,108.953,173.5791335
-31.478,108.953,173.5783793
-31.477,108.953,173.5776251
-31.476,108.953,173.5768709
-31.475,108.953,173.5761167
-31.474,108.953,173.5753625
-31.473,108.953,173.5746083
-31.472,108.953,173.5738541
-31.471,108.953,173.5730999
-31.47,108.953,173.5723457
-31.469,108.953,173.5715915
-31.468,108.953,173.5708373
-31.467,108.953,173.5700831
-31.466,108.953,173.5693289
-31.465,108.953,173.5682406
-31.464,108.953,173.5671524
-31.463,108.953,173.5660641
-31.462,108.953,173.5649758
-31.461,108.953,173.5638875
-31.46,108.953,173.5627992
-31.459,108.953,173.5617109
-31.458,108.953,173.5606226
-31.457,108.953,173.5595343
-31.456,108.953,173.558446
-31.455,108.953,173.5573578
-31.454,108.953,173.5562695
-31.453,108.972,173.5551812
-31.452,108.972,173.5540929
-31.451,108.972,173.5530046
-31.45,108.972,173.5519163
-31.449,108.972,173.550828
-31.448,108.972,173.5497397
-31.447,108.992,173.5486515
-31.446,108.992,173.5475632
-31.445,108.992,173.5464749
-31.444,108.992,173.5453866
-31.443,108.992,173.5442983
-31.442,108.992,173.54321
-31.441,108.992,173.5421217
-31.44,108.992,173.5410334
-31.439,108.992,173.5399451
-31.438,108.992,173.5388569
-31.437,108.992,173.5377686
-31.436,108.992,173.5366803
-31.435,108.992,173.535592
-31.434,108.992,173.5345037
-31.433,108.992,173.5334154
-31.432,108.992,173.532351
-31.431,108.992,173.5312866
-31.43,108.992,173.5302221
-31.429,108.972,173.5291577
-31.428,108.972,173.5280933
-31.427,108.972,173.5270289
-31.426,108.972,173.5259645
-31.425,108.972,173.5249
-31.424,108.972,173.5238356
-31.423,108.972,173.5227712
-31.422,108.972,173.5217068
-31.421,108.972,173.5206423
-31.42,108.972,173.5195779
-31.419,108.972,173.5185135
-31.418,108.972,173.5174491
-31.417,108.972,173.5163846
-31.416,108.972,173.5153202
-31.415,108.972,173.5142558
-31.414,108.972,173.5131914
-31.413,108.972,173.5121269
-31.412,108.972,173.5110625
-31.411,108.972,173.5099981
-31.41,108.972,173.5089337
-31.409,108.972,173.5078693
-31.408,108.972,173.5068048
-31.407,108.972,173.5057404
-31.406,108.972,173.504676
-31.405,108.972,173.5036116
-31.404,108.972,173.5025471
-31.403,108.972,173.5014827
-31.402,108.972,173.5004183
-31.401,108.953,173.4993539
-31.4,108.953,173.4982894
-31.399,108.953,173.4974735
-31.398,108.953,173.4966575
-31.397,108.953,173.4958415
-31.396,108.953,173.4950256
-31.395,108.953,173.4942096
-31.394,108.953,173.4933936
-31.393,108.953,173.4925777
-31.392,108.953,173.4917617
-31.391,108.953,173.4909457
-31.39,108.953,173.4901298
-31.389,108.953,173.4893138
-31.388,108.953,173.4884978
-31.387,108.953,173.4876819
-31.386,108.953,173.4868659
-31.385,108.953,173.4860499
-31.384,108.953,173.485234
-31.383,108.953,173.484418
-31.382,108.953,173.483602
-31.381,108.953,173.482786
-31.38,108.953,173.4819701
-31.379,108.953,173.4811541
-31.378,108.953,173.4803381
-31.377,108.953,173.4795222
-31.376,108.953,173.4787062
-31.375,108.953,173.4778902
-31.374,108.953,173.4770743
-31.373,108.953,173.4762583
-31.372,108.953,173.4754423
-31.371,108.953,173.4746264
-31.37,108.953,173.4738104
-31.369,108.972,173.4729944
-31.368,108.953,173.4721785
-31.367,108.953,173.4713625
-31.366,108.953,173.4705465
-31.365,108.953,173.469522
-31.364,108.953,173.4684975
-31.363,108.953,173.467473
-31.362,108.953,173.4664486
-31.361,108.953,173.4654241
-31.36,108.953,173.4643996
-31.359,108.953,173.4633751
-31.358,108.953,173.4623506
-31.357,108.953,173.4613261
-31.356,108.953,173.4603016
-31.355,108.953,173.4592771
-31.354,108.953,173.4582526
-31.353,108.953,173.4572281
-31.352,108.953,173.4562036
-31.351,108.953,173.4551791
-31.35,108.953,173.4541547
-31.349,108.953,173.4531302
-31.348,108.953,173.4521057
-31.347,108.953,173.4510812
-31.346,108.953,173.4500567
-31.345,108.953,173.4490322
-31.344,108.953,173.4480077
-31.343,108.953,173.4469832
-31.342,108.953,173.4459587
-31.341,108.953,173.4449342
-31.34,108.953,173.4439097
-31.339,108.953,173.4428853
-31.338,108.933,173.4418608
-31.337,108.933,173.4408363
-31.336,108.933,173.4398118
-31.335,108.933,173.4387873
-31.334,108.933,173.4377628
-31.333,108.953,173.4367383
-31.332,108.953,173.4370102
-31.331,108.953,173.4372822
-31.33,108.953,173.4375541
-31.329,108.953,173.4378261
-31.328,108.953,173.438098
-31.327,108.953,173.4383699
-31.326,108.953,173.4386419
-31.325,108.953,173.4389138
-31.324,108.953,173.4391858
-31.323,108.953,173.4394577
-31.322,108.972,173.4397297
-31.321,108.972,173.4400016
-31.32,108.972,173.4402735
-31.319,108.972,173.4405455
-31.318,108.972,173.4408174
-31.317,108.972,173.4410894
-31.316,108.972,173.4413613
-31.315,108.972,173.4416332
-31.314,108.972,173.4419052
-31.313,108.972,173.4421771
-31.312,108.972,173.4424491
-31.311,108.972,173.442721
-31.31,108.972,173.4429929
-31.309,108.972,173.4432649
-31.308,108.972,173.4435368
-31.307,108.992,173.4438088
-31.306,108.992,173.4440807
-31.305,108.992,173.4443526
-31.304,108.992,173.4446246
-31.303,108.992,173.4448965
-31.302,108.992,173.4451685
-31.301,108.992,173.4454404
-31.3,108.992,173.4457123
-31.299,108.992,173.445689
-31.298,108.992,173.4456656
-31.297,108.992,173.4456423
-31.296,108.992,173.4456189
-31.295,108.992,173.4455955
-31.294,108.992,173.4455722
-31.293,108.992,173.4455488
-31.292,108.992,173.4455254
-31.291,108.992,173.4455021
-31.29,108.992,173.4454787
-31.289,108.992,173.4454553
-31.288,108.992,173.445432
-31.287,108.992,173.4454086
-31.286,108.992,173.4453852
-31.285,108.992,173.4453619
-31.284,108.992,173.4453385
-31.283,108.992,173.4453151
-31.282,108.992,173.4452918
-31.281,108.992,173.4452684
-31.28,108.992,173.445245
-31.279,108.992,173.4452217
-31.278,108.992,173.4451983
-31.277,108.992,173.4451749
-31.276,108.992,173.4451516
-31.275,108.992,173.4451282
-31.274,108.992,173.4451048
-31.273,108.992,173.4450815
-31.272,108.992,173.4450581
-31.271,108.992,173.4450347
-31.27,108.992,173.4450114
-31.269,108.992,173.444988
-31.268,108.992,173.4449646
-31.267,108.992,173.4449413
-31.266,108.992,173.4449179
-31.265,108.972,173.445967
-31.264,108.972,173.4470161
-31.263,108.972,173.4480652
-31.262,108.972,173.4491143
-31.261,108.972,173.4501634
-31.26,108.972,173.4512125
-31.259,108.972,173.4522616
-31.258,108.972,173.4533107
-31.257,108.972,173.4543598
-31.256,108.972,173.4554089
-31.255,108.972,173.456458
-31.254,108.972,173.4575071
-31.253,108.972,173.4585562
-31.252,108.992,173.4596053
-31.251,108.992,173.4606544
-31.25,108.992,173.4617035
-31.249,108.992,173.4627526
-31.248,108.992,173.4638017
-31.247,108.992,173.4648508
-31.246,108.992,173.4658999
-31.245,108.992,173.466949
-31.244,108.992,173.4679981
-31.243,108.992,173.4690472
-31.242,108.992,173.4700963
-31.241,108.992,173.4711454
-31.24,108.992,173.4721945
-31.239,108.992,173.4732436
-31.238,108.992,173.4742927
-31.237,108.992,173.4753418
-31.236,108.992,173.4763909
-31.235,108.992,173.47744
-31.234,108.992,173.4784891
-31.233,108.992,173.4795382
-31.232,108.992,173.4795302
-31.231,108.992,173.4795222
-31.23,108.992,173.4795141
-31.229,108.992,173.4795061
-31.228,108.992,173.4794981
-31.227,108.992,173.47949
-31.226,108.992,173.479482
-31.225,108.992,173.479474
-31.224,108.992,173.479466
-31.223,108.992,173.4794579
-31.222,108.992,173.4794499
-31.221,108.992,173.4794419
-31.22,108.992,173.4794338
-31.219,108.992,173.4794258
-31.218,108.992,173.4794178
-31.217,108.992,173.4794098
-31.216,108.992,173.4794017
-31.215,108.992,173.4793937
-31.214,108.992,173.4793857
-31.213,108.992,173.4793776
-31.212,108.992,173.4793696
-31.211,108.992,173.4793616
-31.21,108.992,173.4793536
-31.209,108.992,173.4793455
-31.208,108.992,173.4793375
-31.207,108.992,173.4793295
-31.206,108.992,173.4793214
-31.205,108.992,173.4793134
-31.204,108.992,173.4793054
-31.203,108.992,173.4792974
-31.202,108.992,173.4792893
-31.201,108.992,173.4792813
-31.2,108.992,173.4792733
-31.199,108.992,173.4782161
-31.198,108.992,173.4771589
-31.197,108.992,173.4761017
-31.196,108.992,173.4750445
-31.195,108.992,173.4739873
-31.194,108.992,173.4729301
-31.193,108.992,173.4718728
-31.192,108.992,173.4708156
-31.191,108.992,173.4697584
-31.19,109.012,173.4687012
-31.189,109.012,173.467644
-31.188,109.012,173.4665868
-31.187,109.012,173.4655296
-31.186,109.012,173.4644724
-31.185,109.012,173.4634152
-31.184,109.012,173.462358
-31.183,109.012,173.4613008
-31.182,109.012,173.4602436
-31.181,109.012,173.4591864
-31.18,109.012,173.4581292
-31.179,109.012,173.457072
-31.178,109.012,173.4560148
-31.177,109.012,173.4549576
-31.176,109.012,173.4539004
-31.175,109.012,173.4528432
-31.174,109.012,173.451786
-31.173,109.012,173.4507288
-31.172,109.012,173.4496716
-31.171,109.012,173.4486144
-31.17,109.012,173.4475572
-31.169,109.012,173.4465
-31.168,109.012,173.4454428
-31.167,109.012,173.4443856
-31.166,109.012,173.4433284
-31.165,109.012,173.4425197
-31.164,109.012,173.441711
-31.163,109.012,173.4409024
-31.162,109.012,173.4400937
-31.161,109.012,173.4392851
-31.16,109.012,173.4384764
-31.159,109.012,173.4376678
-31.158,109.012,173.4368591
-31.157,109.012,173.4360504
-31.156,109.012,173.4352418
-31.155,109.012,173.4344331
-31.154,109.012,173.4336245
-31.153,109.012,173.4328158
-31.152,109.012,173.4320072
-31.151,109.012,173.4311985
-31.15,108.992,173.4303898
-31.149,108.992,173.4295812
-31.148,108.992,173.4287725
-31.147,108.992,173.4279639
-31.146,108.992,173.4271552
-31.145,108.992,173.4263466
-31.144,108.992,173.4255379
-31.143,108.992,173.4247292
-31.142,108.992,173.4239206
-31.141,108.992,173.4231119
-31.14,108.992,173.4223033
-31.139,108.992,173.4214946
-31.138,108.992,173.420686
-31.137,108.992,173.4198773
-31.136,108.992,173.4190686
-31.135,108.992,173.41826
-31.134,108.992,173.4174513
-31.133,109.012,173.4166427
-31.132,109.012,173.4147876
-31.131,109.012,173.4129325
-31.13,109.012,173.4110775
-31.129,109.012,173.4092224
-31.128,109.012,173.4073673
-31.127,109.012,173.4055122
-31.126,109.012,173.4036572
-31.125,109.012,173.4018021
-31.124,109.012,173.399947
-31.123,109.012,173.398092
