GaitPhase,pMMGMean_5,NewCol5
34.43443443,1.409589776,0.114611798
34.53453453,1.380014591,0.10662449
34.63463463,1.330222953,0.096753167
34.73473473,1.294304353,0.086881845
34.83483483,1.267215329,0.077010522
34.93493493,1.253215182,0.072566153
35.03503504,1.225913224,0.065835845
35.13513514,1.178525147,0.043155213
35.23523524,1.147971769,0.04028595
35.33533534,1.124418405,0.037416686
35.43543544,1.107281422,0.034547422
35.53553554,1.083090348,0.031678159
35.63563564,1.042768458,0.028808895
35.73573574,1.014516352,0.025937607
35.83583584,0.996412409,0.020590668
35.93593594,0.980109581,0.003570451
36.03603604,0.959266426,0.013088031
36.13613614,0.921049562,0.005202579
36.23623624,0.890688369,-0.002682873
36.33633634,0.872675637,-0.005741474
36.43643644,0.852477435,-0.012049611
36.53653654,0.828715583,-0.018357747
36.63663664,0.795942784,-0.024665884
36.73673674,0.769753183,-0.03097402
36.83683684,0.754492124,-0.037282157
36.93693694,0.7345012,-0.044504417
37.03703704,0.713387136,-0.055020359
37.13713714,0.680281144,-0.063171059
37.23723724,0.650361416,-0.067007627
37.33733734,0.634919283,-0.067013825
37.43743744,0.616715654,-0.066347429
37.53753754,0.593189716,-0.077676869
37.63763764,0.56716164,-0.089785397
37.73773774,0.540155901,-0.101893924
37.83783784,0.521887212,-0.114002452
37.93793794,0.499708879,-0.118238772
38.03803804,0.470964043,-0.120344315
38.13813814,0.447733035,-0.122449858
38.23823824,0.415864104,-0.124555402
38.33833834,0.398614942,-0.126660945
38.43843844,0.37653425,-0.128766488
38.53853854,0.344619,-0.115990881
38.63863864,0.317681825,-0.116471309
38.73873874,0.282558778,-0.120789219
38.83883884,0.261899659,-0.125107129
38.93893894,0.247744408,-0.129425038
39.03903904,0.214739121,-0.133742948
39.13913914,0.186585,-0.138060858
39.23923924,0.153109571,-0.141585938
39.33933934,0.128436109,-0.142281732
39.43943944,0.115355303,-0.142977527
39.53953954,0.075222009,-0.143673322
39.63963964,0.042741182,-0.144369117
39.73973974,0.014253812,-0.145064911
39.83983984,-0.009943604,-0.156722218
39.93993994,-0.023612477,-0.159877921
40.04004004,-0.061809864,-0.163033625
40.14014014,-0.094253033,-0.166189328
40.24024024,-0.120183275,-0.169345031
40.34034034,-0.148462903,-0.172474552
40.44044044,-0.162646091,-0.173449182
40.54054054,-0.195178747,-0.174423812
40.64064064,-0.228700592,-0.175398442
40.74074074,-0.249873002,-0.176373072
40.84084084,-0.277234687,-0.177347703
40.94094094,-0.290667429,-0.178322333
41.04104104,-0.320173129,-0.1793832
41.14114114,-0.354169507,-0.180701336
41.24124124,-0.37336592,-0.182019472
41.34134134,-0.396755063,-0.183337609
41.44144144,-0.410351648,-0.184655745
41.54154154,-0.434854776,-0.189134358
41.64164164,-0.471301384,-0.194755226
41.74174174,-0.489207687,-0.200596151
41.84184184,-0.509276443,-0.206437075
41.94194194,-0.522261116,-0.212277999
42.04204204,-0.543588063,-0.218118924
42.14214214,-0.577529298,-0.21878855
42.24224224,-0.595636185,-0.208629569
42.34234234,-0.612847912,-0.215621802
42.44244244,-0.628156523,-0.222630134
42.54254254,-0.645419874,-0.228326841
42.64264264,-0.676547876,-0.228333039
42.74274274,-0.695223261,-0.228339237
42.84284284,-0.70959738,-0.228843028
42.94294294,-0.721707472,-0.230948571
43.04304304,-0.742879912,-0.233054114
43.14314314,-0.772466302,-0.235159657
43.24324324,-0.786420395,-0.2372652
43.34334334,-0.797504955,-0.239370743
43.44344344,-0.809042403,-0.238214775
43.54354354,-0.824257215,-0.24179513
43.64364364,-0.847804996,-0.24885611
43.74374374,-0.863881478,-0.253540669
43.84384384,-0.871373934,-0.254500953
43.94394394,-0.881940952,-0.255461238
44.04404404,-0.89738744,-0.256421523
44.14414414,-0.91429928,-0.257381807
44.24424424,-0.927463258,-0.258342092
44.34434434,-0.93445565,-0.259302377
44.44444444,-0.940247928,-0.255883951
44.54454454,-0.951652454,-0.25197688
44.64464464,-0.963714074,-0.24806981
44.74474474,-0.971813266,-0.259422952
44.84484484,-0.974956439,-0.25942915
44.94494494,-0.97787137,-0.259435348
45.04504505,-0.988657908,-0.259441546
45.14514515,-1.001236874,-0.259447745
45.24524525,-1.008148669,-0.259453943
45.34534535,-1.010442445,-0.259460141
45.44544545,-1.010994137,-0.259466339
45.54554555,-1.015968493,-0.259472537
45.64564565,-1.023869011,-0.259478735
45.74574575,-1.028343739,-0.259484933
45.84584585,-1.029222007,-0.268810884
45.94594595,-1.028856217,-0.275686724
46.04604605,-1.029948821,-0.272286823
46.14614615,-1.030472943,-0.268886923
46.24624625,-1.033782636,-0.265487023
46.34634635,-1.034204177,-0.262087122
46.44644645,-1.032015994,-0.259528321
46.54654655,-1.033883554,-0.259534519
46.64664665,-1.03796211,-0.259540717
46.74674675,-1.035914876,-0.259546915
46.84684685,-1.035588699,-0.259553113
46.94694695,-1.032193439,-0.259559311
47.04704705,-1.027578742,-0.261767051
47.14714715,-1.027676967,-0.261029672
47.24724725,-1.022646504,-0.257546034
47.34734735,-1.016847178,-0.254062396
47.44744745,-1.012613953,-0.250578757
47.54754755,-1.007088773,-0.247162146
47.64764765,-1.004426992,-0.245669608
47.74774775,-0.998025907,-0.24417707
47.84784785,-0.990997682,-0.242684531
47.94794795,-0.986818492,-0.241191993
48.04804805,-0.977385183,-0.238685709
48.14814815,-0.972315424,-0.236069553
48.24824825,-0.965971727,-0.241174495
48.34834835,-0.955863702,-0.252830296
48.44844845,-0.950639247,-0.245816834
48.54854855,-0.942561124,-0.227290943
48.64864865,-0.937672726,-0.213878364
48.74874875,-0.930627978,-0.20789359
48.84884885,-0.920106996,-0.201908816
48.94894895,-0.914835085,-0.195924043
49.04904905,-0.907426774,-0.18928458
49.14914915,-0.895288268,-0.180906381
49.24924925,-0.887112812,-0.172528182
49.34934935,-0.87553579,-0.165697077
49.44944945,-0.86474394,-0.162161091
49.54954955,-0.857668041,-0.158625106
49.64964965,-0.845805142,-0.149706027
49.74974975,-0.840443329,-0.141114259
49.84984985,-0.832072994,-0.135877777
49.94994995,-0.824296989,-0.130641296
50.05005005,-0.819210761,-0.131448638
50.15015015,-0.807126621,-0.133554181
50.25025025,-0.796532207,-0.135659724
50.35035035,-0.788443635,-0.134097947
50.45045045,-0.77734783,-0.1320061
50.55055055,-0.770825271,-0.129914252
50.65065065,-0.757814098,-0.134927721
50.75075075,-0.746873404,-0.140538784
50.85085085,-0.741890004,-0.146149847
50.95095095,-0.732906289,-0.100137268
51.05105105,-0.725222711,-0.103643097
51.15115115,-0.716588318,-0.107148927
51.25125125,-0.708186493,-0.110654756
51.35135135,-0.705073994,-0.087171667
51.45145145,-0.692782903,-0.080625782
