SquatPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGStd_1,pMMGStd_2,pMMGStd_3,pMMGStd_4,ThetaMean_1,ThetaMean_2,ThetaMean_3,ThetaMean_4
33.3333333333333,6.08215863855275,0.998091380778278,2.48179106578758,2.70872184200734,7.63930811172144,3.65085831769805,7.73785756545543,5.90914423784721,110.819919245556,112.512134477778,110.819919245556,112.512134477778
33.4334334334334,6.25333094360981,1.10667974814334,2.61476976842293,2.72459848520385,7.67126211923236,3.56623962493773,7.79009461420681,5.84475326390287,110.414804595876,110.904963847851,110.414804595876,110.904963847851
33.5335335335335,6.37317362509244,1.22447353152469,2.72212997764788,2.74355705150703,7.69688291830468,3.59158813408206,7.88053340677722,5.86406489890134,110.009689941892,109.29561626378,110.009689941892,109.29561626378
33.6336336336336,6.56519919959535,1.35518868595456,2.86243424998577,2.82830088783624,7.67225109985808,3.70938330196531,7.9434707369992,5.94603259333486,109.604575307628,107.678437341301,109.604575307628,107.678437341301
33.7337337337337,6.72831899474565,1.49801125382001,2.97736937329769,2.90018478568933,7.66924362567793,3.7986148366844,8.01649903284476,6.05171894733941,109.230357191181,107.413507460427,109.230357191181,107.413507460427
33.8338338338338,6.95280000075016,1.63767835771185,3.10320547863257,3.00396320217701,7.56378548726657,3.88276370434004,8.04958766067825,6.09724593684832,108.867373554481,107.800472801558,108.867373554481,107.800472801558
33.9339339339339,7.10090264716644,1.83186497754637,3.20133584962439,3.15332288985963,7.53677533918735,4.1133783810701,8.09540148713375,6.22213815111838,108.507369604735,108.187438118058,108.507369604735,108.187438118058
34.034034034034,7.26375842467575,1.89612867130418,3.26655043006477,3.28333591941991,7.47911890482724,4.17106562455914,8.1450080206825,6.27067856646998,108.147365637314,108.574403447414,108.147365637314,108.574403447414
34.1341341341341,7.43652048016371,1.93502473975022,3.30071107439109,3.42743015229929,7.33024984255917,4.22927591837175,8.15704208002747,6.31114612936297,107.787361698602,108.906380248959,107.787361698602,108.906380248959
34.2342342342342,7.56456687540395,1.90382530686372,3.35646488638533,3.6207116496059,7.29518408922469,4.26422139621644,8.1403635850416,6.41138494788984,107.458900533063,108.76679365006,107.458900533063,108.76679365006
34.3343343343343,7.71098468480209,1.85687101857054,3.38717740446557,3.77551493542751,7.22751659920241,4.30333971430314,8.13216685190915,6.44517740217559,107.131116095586,108.139557892646,107.131116095586,108.139557892646
34.4344344344344,7.81004083716467,1.87681410250928,3.43610125230405,3.92537761920766,7.21005808586557,4.31616213574321,8.10292510478099,6.52886275828726,106.80333169004,107.513857810974,106.80333169004,107.513857810974
