GaitPhase,pMMGMean_5,pMMGStd_5,pMMGMean_5_1,pMMGStd_5_1,pMMGMean_3,pMMGStd_3,NewColumn
22.92292292,2.003231682,1.534490894,3.735522701,1.104541408,2.527826667,0.486534392,-2.84940358693133
23.02302302,2.052709037,1.531542535,3.822761464,1.122786576,2.552435233,0.46129712,-2.25360194458001
23.12312312,2.088320505,1.55317,3.87015537,1.141940737,2.54796705,0.471523726,-1.37091113845513
23.22322322,2.122882924,1.584628128,3.917237216,1.164774215,2.556177546,0.503417951,0.0182781554976512
23.32332332,2.175044275,1.622736913,3.961390281,1.16587941,2.57811577,0.532868802,1.40746744945038
23.42342342,2.213519329,1.686759793,4.034606742,1.184997003,2.608598538,0.589833821,2.79665674340311
23.52352352,2.246414109,1.726033702,4.103308355,1.188467037,2.649644299,0.649760945,4.10991908437903
23.62362362,2.280721154,1.746465795,4.184603771,1.160151399,2.705580016,0.722591622,5.40223036027593
23.72372372,2.341228566,1.797689961,4.23235275,1.161279115,2.774224733,0.783105914,6.69454163617284
23.82382382,2.39813104,1.832877981,4.298365325,1.158313582,2.83987028,0.802567202,7.60636256306752
23.92392392,2.463258072,1.858919384,4.020002192,1.504930466,2.896747059,0.79629235,8.29835403324756
24.02402402,2.530452866,1.874665768,4.422058544,1.176040675,2.947798012,0.781778536,8.9903455034276
24.12412412,2.626588985,1.920021143,4.490476657,1.174428823,3.017007123,0.792944235,9.68233697360766
24.22422422,2.721702367,1.954714591,4.565561437,1.17135921,3.074250723,0.774560734,10.3743284437877
24.32432432,2.797377652,1.958752915,4.637613581,1.207576259,3.128201838,0.7156206,11.0663199139677
24.42442442,2.883759116,1.967161983,4.692404622,1.225772827,3.18292881,0.678210656,11.4938838481559
24.52452452,2.963845952,1.978886343,4.760256723,1.258774012,3.225149704,0.601918435,11.8761547350432
24.62462462,3.040736066,1.996841849,4.832511227,1.313001178,3.269671899,0.550655954,12.2584256219305
24.72472472,3.083590604,1.97693052,4.938946124,1.388212551,3.285795696,0.48298633,12.6406965088178
24.82482482,3.127654351,1.990529773,5.047022809,1.44557286,3.301919493,0.443600978,12.7803696368906
24.92492492,3.163694463,1.994956598,5.156532433,1.502642204,3.305846756,0.415251393,12.5493063237091
25.02502503,3.191667403,2.011785706,5.249932827,1.534678585,3.3237042,0.378317788,12.3182429874444
25.12512513,3.237792829,2.016187604,5.332937048,1.561284562,3.340724247,0.365195861,12.087179674263
25.22522523,3.242471842,2.07131598,5.387631618,1.562195016,3.347810279,0.36612275,11.857612415395
25.32532533,3.282650983,2.120541654,5.442659521,1.56785606,3.394896311,0.395333911,11.6307864735549
