GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGMean_5,NewColumn,,
13.71371371,-2.026835123,-0.83767882,1.112073252,2.328818426,-0.689484566,-22.17535907,,
13.81381381,-2.037172058,-0.841304396,1.114812346,2.324772749,-0.693666309,-22.10379536,,
13.91391391,-2.048296039,-0.835429973,1.096601435,2.340727072,-0.699348477,-22.03223164,,
14.01401401,-2.05571882,-0.81755555,1.099992126,2.358681394,-0.703350966,-21.96066793,,
14.11411411,-2.067513636,-0.813181126,1.102173212,2.411135717,-0.690709447,-21.88910421,,
14.21421421,-2.07257406,-0.80565585,1.081299904,2.403949115,-0.694043284,-21.81754049,,
14.31431431,-2.084595444,-0.78923747,1.081926596,2.425531616,-0.699377122,-21.74597678,,
14.41441441,-2.087155383,-0.778583042,1.07352483,2.436752702,-0.694695993,-21.67441306,,
14.51451451,-2.091324892,-0.726581766,1.076542187,2.445629162,-0.719972335,-21.60284935,,
14.61461461,-2.091994402,-0.70535977,1.084559545,2.471906522,-0.717248676,-21.62055402,,
14.71471471,-2.073163911,-0.68528342,1.097576902,2.477925625,-0.742525017,-21.73119163,,
14.81481481,-2.075130633,-0.651317179,1.137743942,2.489298581,-0.747880072,-21.84182924,,
14.91491491,-2.062272704,-0.631265034,1.159639653,2.504889882,-0.74450088,-21.95246685,,
15.01501502,-2.04490578,-0.60540271,1.17686111,2.519624617,-0.767097905,-22.06310447,,
15.11511512,-2.044191568,-0.577184331,1.216388267,2.555668445,-0.761494676,-22.17374208,,
15.21521522,-2.05220258,-0.563516406,1.225415425,2.590699143,-0.767750306,-22.28437969,,
15.31531532,-2.063213592,-0.564848481,1.225442582,2.634229842,-0.763005937,-22.3950173,,
15.41541542,-2.045724604,-0.560680556,1.234969741,2.68126054,-0.765761567,-22.50565491,,
15.51551552,-2.069626104,-0.564106035,1.224708669,2.726266933,-0.760365627,-22.44673439,,
15.61561562,-2.06652359,-0.539346816,1.194581496,2.781061166,-0.746777167,-22.2702224,,
15.71571572,-2.081421054,-0.533587597,1.173585277,2.815855399,-0.760494639,-22.09371042,,
15.81581582,-2.070387085,-0.526242897,1.177253722,2.880562209,-0.772712111,-21.91719843,,
15.91591592,-2.07221598,-0.519687698,1.193092839,2.925823796,-0.738929583,-21.74068645,,
16.01601602,-2.087113443,-0.512632499,1.20959662,2.979085383,-0.733647055,-21.56417446,,
16.11611612,-2.044010906,-0.495577301,1.2471004,3.02834697,-0.737864527,-21.38766248,,
16.21621622,-2.04806278,-0.497447038,1.257097397,3.069960903,-0.722604296,-21.21115049,,
16.31631632,-2.048955401,-0.49018612,1.306081006,3.097635674,-0.705599958,-21.03463851,,
16.41641642,-2.052348021,-0.460700478,1.335564616,3.14369633,-0.69259562,-20.89475102,,
16.51651652,-2.028240641,-0.464565713,1.365548225,3.147989431,-0.677591282,-20.77190822,,
16.61661662,-2.020686314,-0.455331106,1.395949253,3.195167593,-0.652116474,-20.64906541,,
16.71671672,-2.014265121,-0.440596498,1.415015445,3.211345755,-0.633190215,-20.5262226,,
16.81681682,-2.018938856,-0.424619024,1.454114966,3.265957005,-0.62237629,-20.4033798,,
16.91691692,-2.023832651,-0.408641309,1.452621455,3.270438207,-0.606095186,-20.28053699,,
17.01701702,-2.029226446,-0.399672604,1.471627943,3.316428417,-0.598814082,-20.15769419,,
